                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.25676,                0.22913,                0.83613,                0.80949,                0.80751,                0.85705,                0.81239,                0.34365,                0.58477,                0.84138,             0.00048389,             0.00048389,             0.00048389
                    129,                0.25967,                0.22837,                0.83502,                0.80372,                0.83234,                0.87372,                 0.8256,                0.33742,                0.53455,                0.84235,             0.00048114,             0.00048114,             0.00048114
                    130,                0.25734,                0.22624,                0.83412,                 0.8145,                0.81103,                 0.8523,                0.80424,                 0.3458,                0.62174,                0.84278,             0.00047839,             0.00047839,             0.00047839
                    131,                0.26043,                0.22983,                0.84118,                0.80343,                0.82154,                0.86531,                 0.8181,                0.33573,                0.54436,                0.84606,             0.00047564,             0.00047564,             0.00047564
                    132,                0.25389,                0.22167,                0.83712,                0.81686,                0.81243,                0.84689,                0.79971,                0.33878,                0.57828,                0.84532,             0.00047289,             0.00047289,             0.00047289
                    133,                0.25734,                0.22325,                0.83766,                 0.8247,                0.82227,                0.86026,                 0.8141,                 0.3479,                0.56547,                0.85057,             0.00047015,             0.00047015,             0.00047015
                    134,                0.25105,                0.21912,                0.83289,                0.81503,                0.82302,                 0.8427,                0.80024,                0.33406,                0.60322,                0.83973,              0.0004674,              0.0004674,              0.0004674
                    135,                0.25346,                0.22837,                0.83761,                 0.8369,                0.80837,                0.87541,                0.82644,                0.34183,                0.51768,                0.84793,             0.00046465,             0.00046465,             0.00046465
                    136,                0.25191,                0.22377,                0.83783,                0.83855,                0.82876,                0.87627,                 0.8265,                0.34676,                0.52575,                0.84698,              0.0004619,              0.0004619,              0.0004619
                    137,                0.25387,                0.22416,                0.83422,                0.81897,                0.82827,                0.86718,                0.81428,                0.35987,                0.58302,                0.85611,             0.00045915,             0.00045915,             0.00045915
                    138,                 0.2529,                0.21292,                0.83565,                 0.8333,                0.79351,                0.85769,                0.81002,                0.34898,                0.56828,                0.84835,              0.0004564,              0.0004564,              0.0004564
                    139,                 0.2467,                0.21313,                0.83189,                0.79518,                 0.8373,                0.85202,                0.80396,                0.34322,                 0.5929,                0.84274,             0.00045365,             0.00045365,             0.00045365
                    140,                0.24671,                0.21559,                0.83414,                0.83966,                0.77614,                0.86568,                0.81591,                0.34725,                0.57529,                0.84522,              0.0004509,              0.0004509,              0.0004509
                    141,                0.24264,                0.21189,                 0.8362,                0.77293,                0.84591,                0.84566,                0.79407,                0.34194,                0.61341,                0.84469,             0.00044815,             0.00044815,             0.00044815
                    142,                0.24219,                0.21703,                0.83197,                0.80254,                0.81834,                0.85194,                0.80272,                0.35244,                0.58806,                0.84892,             0.00044541,             0.00044541,             0.00044541
                    143,                0.24559,                0.21802,                0.83371,                0.80729,                0.82731,                0.85149,                0.79853,                0.34903,                0.64763,                0.85256,             0.00044266,             0.00044266,             0.00044266
                    144,                0.24943,                0.22455,                0.83602,                0.76718,                 0.8385,                0.84633,                0.79612,                0.35107,                0.65569,                0.85321,             0.00043991,             0.00043991,             0.00043991
                    145,                0.24365,                0.21562,                 0.8349,                0.83555,                0.79951,                0.85106,                 0.8037,                0.34317,                0.60848,                0.84706,             0.00043716,             0.00043716,             0.00043716
                    146,                0.25089,                0.21867,                 0.8347,                0.84671,                0.79649,                0.84188,                0.79462,                0.34635,                 0.6202,                0.85137,             0.00043441,             0.00043441,             0.00043441
                    147,                0.24682,                0.21402,                0.83852,                0.85507,                0.78895,                0.86963,                0.82153,                0.34361,                0.54734,                0.84638,             0.00043166,             0.00043166,             0.00043166
                    148,                0.24319,                0.20631,                0.83056,                0.84811,                0.80821,                0.87693,                0.82476,                0.34391,                0.53393,                0.85135,             0.00042891,             0.00042891,             0.00042891
                    149,                0.23828,                0.20495,                0.82897,                0.81784,                0.80382,                0.86984,                0.81895,                0.34026,                0.60292,                0.84589,             0.00042616,             0.00042616,             0.00042616
                    150,                0.23592,                0.19947,                0.82748,                0.83943,                0.79133,                0.86709,                 0.8166,                0.34171,                0.59695,                0.84397,             0.00042341,             0.00042341,             0.00042341
                    151,                0.23608,                0.20327,                0.82979,                 0.8415,                0.78389,                0.84521,                0.80274,                0.33953,                0.60278,                0.84489,             0.00042066,             0.00042066,             0.00042066
                    152,                0.24005,                0.20574,                0.83535,                0.85609,                0.79669,                0.87188,                 0.8247,                0.33582,                0.55982,                0.84748,             0.00041792,             0.00041792,             0.00041792
                    153,                 0.2393,                0.20277,                0.83037,                0.84351,                0.82221,                0.88395,                0.83109,                0.34343,                0.51235,                0.84436,             0.00041517,             0.00041517,             0.00041517
